city,state,lat,lng
aguas de lindoia,SP,-22.477061355857693,-46.6190030778751
aguas de santa barbara,SP,-22.87611866084379,-49.239805232619844
aguas de sao pedro,SP,-22.60218529739545,-47.87191829441937
aguas ferreas,MG,-20.093397450052095,-42.62548261599632
aguas formosas,MG,-17.08323622056864,-40.938038472751764
aguas frias,SC,-26.881351672420998,-52.859710992167756
aguas lindas de goias,GO,-15.72491838980515,-48.277047930877984
aguas mornas,SC,-27.70103345965437,-48.83820955993601
aguas vermelhas,MG,-15.64515303095306,-41.48340835828967
aguaí,SP,-22.056483503638535,-46.975808535721654
agudo,RS,-29.643273595312962,-53.2459255611156
agudos,SP,-22.47071707786102,-48.9862934145237
agudos do sul,PR,-25.987456386623908,-49.334836277897196
aguia branca,ES,-18.985619914878118,-40.741235369779915
aguiar,PB,-7.09301285540057,-38.17180592219051
aguiarnopolis,TO,-6.561381193085836,-47.47434760230476
aguiarnópolis,TO,-6.559462517002985,-47.4774869528423
agulha,SP,-21.998815453548172,-47.49271520116097
aimores,MG,-19.501259675907107,-41.071023646550685
aimorés,MG,-19.49563028777582,-41.08327567250618
aiquara,BA,-14.126271965040207,-39.889927091463356
aiuaba,CE,-6.583338622041794,-40.13887446818398
aiuruoca,MG,-21.978848424131765,-44.60576945448214
ajuricaba,RS,-28.23771966641463,-53.76337497269791
alagoa,MG,-22.171830593467934,-44.642598725792546
alagoa grande,PB,-7.041755696576409,-35.63219332049747
alagoa nova,PB,-7.06196902730586,-35.76440866320551
alagoinha,PB,-6.949275120162892,-35.54543763599661
alagoinha,PE,-8.467172120587465,-36.77485511634466
alagoinha do piaui,PI,-7.008805214833113,-40.937304622267234
alagoinha do piauí,PI,-7.009697630013004,-40.93801501497133
alagoinhas,BA,-12.136744532665942,-38.42344400813099
alambari,SP,-23.56157106605844,-47.88510054852834
albertina,MG,-22.201228491603455,-46.615456671407614
alberto isaacson,MG,-19.692467882083736,-45.135662412991074
alcantara,MA,-2.3894526933161426,-44.462232805069
alcantaras,CE,-3.583954156003647,-40.5417956284588
alcantil,PB,-7.743232162444185,-36.0629876303929
alcinopolis,MS,-18.32589093656241,-53.710012705921415
alcinópolis,MS,-18.325392286030805,-53.712134200949876
alcobaca,BA,-17.50293623343519,-39.270537988509126
alcobaça,BA,-17.482928013888323,-39.3038088878954
alcântara,MA,-2.3981287925329924,-44.438740786715606
alcântaras,CE,-3.5876704639941877,-40.54564962879273
aldeia,MG,-19.00823842193629,-41.11203382038614
aldeias altas,MA,-4.62596764081347,-43.46730549774115
alecrim,RS,-27.65821423628894,-54.76690473649302
alegre,ES,-20.760206303395872,-41.53516276114848
alegrete,RS,-29.78957258497392,-55.79128645489499
alegrete do piaui,PI,-7.241927090093527,-40.84388228862271
alegrete do piauí,PI,-7.241054564234952,-40.8563053064458
alegria,MG,-19.923198445099583,-41.921171484127186
alegria,RS,-27.80837589440083,-54.04533603585983
alem paraiba,MG,-21.872452912165326,-42.693540638079725
alenquer,PA,-1.9460951778154754,-54.738224499832995
alexandra,PR,-25.5534229350904,-48.62752422974045
alexandria,RN,-6.413355657069214,-38.013967260122904
alexandrita,MG,-19.70290819846817,-50.41424707469225
alexania,GO,-16.082989120550724,-48.50856735927953
alexânia,GO,-16.08639914589078,-48.50294429605729
alfenas,MG,-21.423970169543413,-45.95136350316126
alfredo chaves,ES,-20.627031870241968,-40.74931056937235
alfredo guedes,SP,-22.59326209208953,-48.793596238946726
alfredo marcondes,SP,-21.954288886597627,-51.41615439159179
alfredo vasconcelos,MG,-21.149443547778596,-43.767193356103036
alfredo wagner,SC,-27.70013863320932,-49.33157442341497
algodão de jandaíra,PB,-6.9040744281326205,-36.01124478544995
algodões,BA,-10.674079142611236,-39.05057508062291
alhandra,PB,-7.433968779567003,-34.910447698646784
alianca,PE,-7.5946400903932405,-35.22248909430234
alianca do tocantins,TO,-11.304778203322233,-48.9371764135414
aliança,PE,-7.6065236797352815,-35.230632629378015
aliança do tocantins,TO,-11.30718067563804,-48.93751542705336
almadina,BA,-14.704574197522879,-39.63759360043721
almas,TO,-11.567892561876574,-47.16831043399929
almeirim,PA,-1.5275035267552193,-52.577149947932085
almenara,MG,-16.176287602159036,-40.69302960684199
almino afonso,RN,-6.155247530745038,-37.76818300221504
almirante tamandare,PR,-25.333449013270254,-49.28401729149067
almirante tamandare do sul,RS,-28.116015587988002,-52.914714553089986
almirante tamandaré,PR,-25.331719159896544,-49.288351235389115
almirante tamandaré do sul,RS,-28.111052791742267,-52.91734552535572
aloandia,GO,-17.730768613653673,-49.476715112055636
aloândia,GO,-17.724938627006498,-49.48113596867425
alpercata,MG,-18.978826415455085,-41.97968305588025
alpestre,RS,-27.25035234287266,-53.03555485473069
alpinopolis,MG,-20.858237040079114,-46.38672391868265
alpinópolis,MG,-20.861700631340746,-46.3881005312071
alta alegre dos parecis,RO,-12.131338609068512,-61.85347578961117
alta floresta,MT,-9.90209628377088,-56.14798246464171
alta floresta d'oeste,RO,-11.947014804296677,-61.99946134183564
alta floresta do oeste,RO,-11.927292447340866,-61.993178631031334
alta floresta doeste,RO,-11.936514767963192,-62.00345070550289
altair,SP,-20.525024597395166,-49.06086757416893
altamira,PA,-3.2066377414917944,-52.21607476388613
altamira do maranhao,MA,-4.169239641524319,-45.48681350594832
altamira do parana,PR,-24.79917358055336,-52.715429195588364
altamira do paraná,PR,-24.80004256455994,-52.71550754024809
altaneira,CE,-6.999919634947142,-39.739299453186206
alterosa,MG,-21.255833645504303,-46.14487857042153
altinho,PE,-8.488189811112091,-36.06023398040497
altinopolis,SP,-21.02087356955779,-47.37717049956644
altinópolis,SP,-21.022586478038754,-47.37841678587679
alto alegre,PR,-22.89738838719939,-51.888509653563055
alto alegre,RR,2.9934006580974075,-61.386150392284705
alto alegre,RS,-28.780864912250042,-52.989186791718815
alto alegre,SP,-21.583295498233486,-50.16748932796554
alto alegre do iguacu,PR,-22.89671170647851,-51.890841433961405
alto alegre do maranhao,MA,-4.214134911794691,-44.44951278413494
alto alegre do pindare,MA,-3.7329394695563454,-45.86707229833637
alto alegre do pindaré,MA,-3.671094031611729,-45.845548140126475
alto alegre dos parecis,RO,-12.135037339165097,-61.85829592723605
alto araguaia,MT,-17.31726008132973,-53.223327746417894
alto bela vista,SC,-27.431744031945787,-51.906781127304434
alto boa vista,MT,-11.679428518842508,-51.37675429719136
alto calcado,ES,-20.946109999999976,-41.61999999999995
alto caparao,MG,-20.44423852885907,-41.87048771838964
alto caparaó,MG,-20.441648090813626,-41.868197419557525
alto do rodrigues,RN,-5.294882466955311,-36.75812276543539
alto feliz,RS,-29.395218045466553,-51.309959126537244
alto garcas,MT,-16.94618701116767,-53.53123705275049
alto garças,MT,-16.945731367928254,-53.53012239512448
alto horizonte,GO,-14.194380211559102,-49.34015563206796
alto jequitiba,MG,-20.426521477998417,-41.964250622017296
alto jequitibá,MG,-20.426429502620714,-41.96403742351163
alto longa,PI,-5.252364654310874,-42.20801055021926
alto maranhao,MG,-20.562229075264067,-43.85680748603392
alto mutum preto,ES,-19.274999999999977,-40.90749999999997
alto paraguai,MT,-14.513116110118148,-56.487034573030726
alto paraiso,PR,-23.507019839218874,-53.72850309319657
alto paraiso,RO,-9.718587699259096,-63.326395243811135
alto paraiso de goias,GO,-14.139492062754918,-47.51685167996019
alto parana,PR,-23.130730094832906,-52.321864300392704
alto paraná,PR,-23.127808402796493,-52.309908679504616
alto paraíso,PR,-23.50562086030579,-53.73231372825629
alto paraíso,RO,-9.719568514473316,-63.31690572943087
alto paraíso de goiás,GO,-14.138701191474786,-47.51706182324394
alto parnaiba,MA,-9.125525871165562,-45.947181513960324
alto parnaíba,MA,-9.11113812965101,-45.93251912207106
alto piquiri,PR,-24.032267622640834,-53.43985746757152
alto rio doce,MG,-21.023159198844187,-43.41263491879728
alto rio novo,ES,-19.05822235499108,-41.01879814974316
alto santo,CE,-5.519712483344855,-38.26737385532684
alto taquari,MT,-17.831339487997212,-53.28242914765827
altonia,PR,-23.87234886066627,-53.89350097315852
altos,PI,-5.037933605097157,-42.45957464672137
altônia,PR,-23.87124983203738,-53.89421948191455
aluminio,SP,-23.524098716525277,-47.25667632200116
alumínio,SP,-23.52123662207714,-47.255904987131935
alvacao,MG,-16.408132897676698,-44.21771746392958
alvaraes,AM,-3.2110188563874758,-64.80427013726734
alvarenga,MG,-19.417557882438132,-41.72756415518321
alvares florence,SP,-20.320866349002348,-49.909107783225615
alvares machado,SP,-22.07630414604995,-51.466719461990174
alvaro de carvalho,SP,-22.083206931312755,-49.717641246663305
alvinlandia,SP,-22.44197473231086,-49.76450313583045
alvinlândia,SP,-22.442313053006316,-49.76294021458492
alvinopolis,MG,-20.11150606065766,-43.066597730401426
alvinópolis,MG,-20.098402153790882,-43.04737640845585
alvorada,MG,-19.88896729373426,-45.14923651880442
alvorada,RS,-30.008429725047467,-51.06694091984415
alvorada,TO,-12.478669410006965,-49.122904845770265
alvorada d'oeste,RO,-11.35023142656732,-62.28751193399718
alvorada de minas,MG,-18.73744917819915,-43.37349462270953
alvorada do gurgueia,PI,-8.451118499999952,-43.92315624999995
alvorada do gurguéia,PI,-8.455556999999946,-43.978332499999965
alvorada do norte,GO,-14.485339149785249,-46.506223797764335
alvorada do oeste,RO,-11.33501778449655,-62.276737115089645
alvorada do sul,PR,-22.779245347587953,-51.229786835378604
além paraíba,MG,-21.87371057751886,-42.69373494440711
amambai,MS,-23.090817384851352,-55.22809370379079
amambaí,MS,-23.098371272219378,-55.225773365487875
amanari,CE,-3.504514941264218,-39.57289793990247
amandina,MS,-22.385330182396338,-53.59466428729488
amanhece,MG,-18.53401304549487,-48.19629512032545
amapa,AP,2.0537900112566634,-50.792152054234904
amapa do maranhao,MA,-1.6732576653020137,-46.01030262739159
amapari,AP,0.7771879222276791,-51.95583223023856
amapora,PR,-23.095387898319984,-52.786050657616805
amaporã,PR,-23.09284811129888,-52.79049991664669
amapá do maranhão,MA,-1.6747728410811775,-46.01120050486437
amaraji,PE,-8.376909914843816,-35.451891714402564
amaral ferrador,RS,-30.874238817770845,-52.253193029298465
amaralina,GO,-13.902455161044607,-49.40402650998531
amarante,PI,-6.242804734400218,-42.853531041069
amarante do maranhao,MA,-5.550368892779593,-46.719194177073014
amarantina,MG,-20.31150115053566,-43.698165529008
amargosa,BA,-13.027915958035509,-39.60169104219675
amatura,AM,-3.366347571444517,-68.19808226751044
amaturá,AM,-3.360578634395564,-68.19734060856122
amelia rodrigues,BA,-12.399008114779287,-38.75668208849201
america dourada,BA,-11.45534706517941,-41.45792194795551
americana,SP,-22.737256111041713,-47.323699357946985
americano,PA,-1.3043903244378463,-48.049921574413105
americano do brasil,GO,-16.25358822328803,-49.981568965848076
americo brasiliense,SP,-21.73283329963874,-48.109930775797594
americo de campos,SP,-20.299632573742652,-49.73238197918518
ametista do sul,RS,-27.365846704987625,-53.178636499482884
amontada,CE,-3.3654681773745936,-39.83000034505478
amorinopolis,GO,-16.620679529424255,-51.09556960647199
amorinópolis,GO,-16.615396337069903,-51.09695599941002
amparo,PB,-7.567200620856406,-37.06092390413923
amparo,SP,-22.708334832836332,-46.77982699608922
amparo da serra,MG,-20.50873879690439,-42.80091590525793
amparo de sao francisco,SE,-10.129935198619387,-36.926615680686055
ampere,PR,-25.91948242542998,-53.47426387071248
ampére,PR,-25.922328459472798,-53.474870030924
amélia rodrigues,BA,-12.409339492924591,-38.74574885622105
américo brasiliense,SP,-21.73493972579475,-48.1099810149176
américo de campos,SP,-20.297990800863584,-49.733959948663376
ana dias,SP,-24.303711041917182,-47.06606866478016
anadia,AL,-9.684047221479462,-36.30329345457926
anage,BA,-14.611423342423128,-41.136312128144475
anagé,BA,-14.610797833111864,-41.13701921768496
anahy,PR,-24.644865290669706,-53.133711223838546
anajas,PA,-1.0043124828655854,-49.92184596497754
anajatuba,MA,-3.265782474827339,-44.615626731243495
anajás,PA,-0.9844708415587737,-49.93890235637042
analandia,SP,-22.12448307795461,-47.66233977037924
anama,AM,-3.5791632887343816,-61.4047788174341
ananas,TO,-6.370023441915631,-48.072614949350445
ananindeua,PA,-1.3664682374065154,-48.40141600314848
ananás,TO,-6.365802118433749,-48.075497185073445
anapolis,GO,-16.326428814607524,-48.94884016591897
anapu,PA,-3.4636809231806556,-51.207049637164026
anapurus,MA,-3.6741935509367245,-43.11039673415854
anastacio,MS,-20.49416178826572,-55.801304874870276
anastácio,MS,-20.487000566820704,-55.806336732309404
anaurilandia,MS,-22.183493629042154,-52.71771123924639
anaurilândia,MS,-22.184245074888018,-52.7191892128821
anchieta,ES,-20.800378086859887,-40.648849815509344
anchieta,SC,-26.53662393358684,-53.33140901036454
andarai,BA,-12.777115285366513,-41.27650549536144
andaraí,BA,-12.814760684427997,-41.32804859966593
andira,PR,-23.048411332218812,-50.22989397409513
andirá,PR,-23.047426378443426,-50.23488552386969
andorinha,BA,-10.344702161161972,-39.83061876266924
andradas,MG,-22.07047143353818,-46.57354819165932
andrade pinto,RJ,-22.239158249094665,-43.42344680674862
andradina,SP,-20.89921803197381,-51.37738057763974
andre da rocha,RS,-28.63235819903258,-51.573247145680746
andrelandia,MG,-21.739488547871638,-44.30983691863982
andrelândia,MG,-21.742213976692046,-44.3119097732587
andrequice,MG,-18.25622999999996,-45.06661999999994
andré da rocha,RS,-28.633323952779627,-51.573692583003904
angatuba,SP,-23.49567484007595,-48.40706839425579
angelandia,MG,-17.728946293657646,-42.27073170474983
angelica,MS,-22.15469316484538,-53.778471882567615
angelim,PE,-8.889457801054395,-36.284772829105734
angelina,SC,-27.58206007230407,-48.98438664013937
angelândia,MG,-17.72918272096108,-42.26919778724728
angical,BA,-12.006384427285656,-44.698162626990054
angical do piaui,PI,-6.077160299486864,-42.73579835439659
angical do piauí,PI,-6.090204944256271,-42.7380798758128
angico,TO,-6.392815765591841,-47.86610721026617
angicos,RN,-5.66603171630403,-36.60327364407801
angra dos reis,RJ,-22.99505330727889,-44.35328502084304
anguera,BA,-12.150285458856343,-39.245960093032245
anguereta,MG,-19.14045895574384,-44.656343884728464
angulo,PR,-23.193225327666635,-51.915829324915514
angustura,MG,-21.868313548258158,-42.698740442406134
angélica,MS,-22.158754150920615,-53.776291569722915
anhandui,MS,-20.981461451885522,-54.503718322956225
anhanguera,GO,-18.339832546002228,-48.21937149616647
anhembi,SP,-22.79055313296728,-48.1292283726356
anhumas,SP,-22.29612614613957,-51.387004974544936
anicuns,GO,-16.459840612028362,-49.96081462896285
anisio de abreu,PI,-9.186196771845553,-43.04891895070123
anita garibaldi,SC,-27.687250757458745,-51.12836796676873
anitapolis,SC,-27.90431811708314,-49.12870759259421
anitápolis,SC,-27.903363640614536,-49.1279992272229
anori,AM,-3.7454147776740614,-61.658785623085464
anta,RJ,-22.23220392930023,-43.05266133211299
anta gorda,RS,-28.9720990314305,-52.00750426344917
antas,BA,-10.411637869766949,-38.327277843128506
antonina,PR,-25.43470443919635,-48.712753541824284
antonina do norte,CE,-6.775232323102792,-39.98814021289837
antonio almeida,PI,-7.221787053150548,-44.1941006414621
antonio cardoso,BA,-12.437804546717423,-39.120387808882356
antonio carlos,MG,-21.31636365493685,-43.75121311393573
antonio carlos,SC,-27.517499927594415,-48.766469895540055
antonio dias,MG,-19.645957369834644,-42.86753891487179
antonio goncalves,BA,-10.57302558573597,-40.275827657027556
antonio joao,MS,-22.19094677334108,-55.94915118985083
antonio martins,RN,-6.213919064448228,-37.89910224097036
antonio olinto,PR,-25.986104950861993,-50.199083172202755
antonio pereira,MG,-20.283938203663602,-43.48187358746016
antonio prado,RS,-28.857214777991516,-51.28458915711345
antonio prado de minas,MG,-21.012742396079165,-42.121740926437454
antunes,MG,-19.907807842506607,-44.698242198322056
antunes (igaratinga),MG,-19.9528911674646,-44.705766537509696
antônio almeida,PI,-7.218767606910639,-44.19612938299576
antônio cardoso,BA,-12.437357096028908,-39.1206630345722
antônio carlos,MG,-21.342634327491034,-43.755896674920834
antônio carlos,SC,-27.511549602623653,-48.78312669952821
antônio dias,MG,-19.646763516793058,-42.86376361737888
antônio gonçalves,BA,-10.567980916052049,-40.27579671319823
antônio joão,MS,-22.18957246015805,-55.94924428871426
antônio martins,RN,-6.215480534391254,-37.88836920759543
antônio olinto,PR,-25.925960999999944,-50.13360349999997
antônio pereira,MG,-20.302851650036125,-43.480192602708854
antônio prado,RS,-28.85464090921841,-51.28150487705431
antônio prado de minas,MG,-21.01891842019032,-42.110280183571945
anápolis,GO,-16.327249365651344,-48.94869596705718
aparecida,PB,-6.78581814474845,-38.083458514723446
aparecida,SP,-22.851231225609038,-45.24664690995327
aparecida d oeste,SP,-20.450816726968945,-50.88286949879962
aparecida d'oeste,SP,-20.454283404365263,-50.88282453060894
aparecida de goiania,GO,-16.7770941635992,-49.275568678115775
aparecida de goiânia,GO,-16.778499672264875,-49.27678827746013
aparecida de minas,MG,-18.867062763128185,-48.264116980102976
aparecida de monte alto,SP,-21.59533285617727,-48.12446105412283
aparecida de sao manuel,SP,-22.73053188890062,-48.614713618517136
aparecida de são manuel,SP,-22.733591606447433,-48.5945885586694
aparecida do rio doce,GO,-18.288548742540375,-51.15799632840345
aparecida do rio negro,TO,-9.950409822060305,-47.975271675045946
aparecida do taboado,MS,-20.080651275371537,-51.10642297448527
aparecida doeste,SP,-20.45510133757992,-50.88130731707086
aperibe,RJ,-21.62582034731358,-42.10482247378425
aperibé,RJ,-21.62591387155748,-42.105486188667456
apeu,PA,-1.295252999999994,-47.978118
apiaca,ES,-21.153566062601175,-41.56711877220422
apiacas,MT,-9.559467343178106,-57.392359205864956
apiacá,ES,-21.15057398340369,-41.5709705731797
apiacás,MT,-9.539548339767281,-57.39338749594591
apiai,SP,-24.510304276423273,-48.84382861804537
apiaí,SP,-24.51078035363957,-48.845100059912795
apicum-acu,MA,-1.5321989889383978,-45.07954687627498
apiuna,SC,-27.040098540929808,-49.38736340966762
apiúna,SC,-27.036092704620092,-49.388462345238345
apodi,RN,-5.6608569705782,-37.797452609510444
apora,BA,-11.665688918521814,-38.09323846103476
apore,GO,-18.963223077650238,-51.92693904530847
aporá,BA,-11.679041195321034,-38.12718919875407
aporé,GO,-18.961835523773708,-51.92694507718156
apuarema,BA,-13.856428388404744,-39.744409767080825
apucarana,PR,-23.55489661758209,-51.456353228191404
apui,AM,-7.197132487896773,-59.8880159214852
apuiares,CE,-3.9468951885637225,-39.43151108792288
apuiarés,CE,-3.9470552952321714,-39.431098675088016
apuí,AM,-7.196901671946424,-59.88933924287576
aquidaba,SE,-10.284870765298363,-37.01914517791074
aquidaban,PR,-23.584743000000003,-51.90274349999999
aquidabã,SE,-10.2842397486987,-37.020032855708095
aquidauana,MS,-20.467619302049197,-55.783090950473536
aquiraz,CE,-3.912322652354214,-38.376434985468876
arabuta,SC,-27.15840379469822,-52.14243275804496
aracagi,PB,-6.851316677283107,-35.38152205143128
aracai,MG,-19.202364153147407,-44.24791910410189
aracaju,SE,-10.941346378601748,-37.06727810860317
aracariguama,SP,-23.434263170131413,-47.06744872543871
aracas,BA,-12.211395226522535,-38.202747833222865
aracati,CE,-4.56650307165923,-37.76389038540504
aracatu,BA,-14.417742491973552,-41.44989365700188
aracatuba,SP,-21.20555581760857,-50.443193714677705
arace,ES,-19.886590969076387,-40.72353893360273
araci,BA,-11.335260862257696,-38.96194718415279
aracitaba,MG,-21.341162438544124,-43.37755847112716
aracoiaba,CE,-4.398558702292383,-38.76904696367999
aracoiaba,PE,-7.788835988700661,-35.08857537280887
aracoiaba da serra,SP,-23.51503482346672,-47.609932002466735
aracruz,ES,-19.84769042963587,-40.22863699645417
aracu,GO,-16.35559065099166,-49.682874097524554
aracuai,MG,-16.86883131439028,-42.07904685695032
aragarcas,GO,-15.91071428305576,-52.23270081465406
aragarças,GO,-15.910251232014685,-52.2317752767676
aragoiania,GO,-16.911957011140164,-49.45104782108625
aragoiânia,GO,-16.909374345034593,-49.44393742945677
aragominas,TO,-7.168983860362199,-48.53033757203072
araguacema,TO,-8.814714973312014,-49.556563413533574
araguacu,TO,-12.928384840808663,-49.826197286894356
araguaia,ES,-20.41550908384522,-40.64411836054274
araguaiana,MT,-15.724665873318244,-51.8348328064225
araguaina,TO,-7.194145689018862,-48.20870898863984
araguainha,MT,-16.85899279055871,-53.03423527198579
araguana,MA,-2.9505096665532773,-45.66542619168681
araguana,TO,-6.702874315562838,-48.55026129159091
araguanã,TO,-6.581948699262933,-48.6440438846919
araguapaz,GO,-15.098425662944779,-50.617515281317765
araguari,MG,-18.64778819488765,-48.19413419921396
araguatins,TO,-5.650280663884922,-48.12128374688021
araguaçu,TO,-12.920932161487835,-49.82756013509299
araguaína,TO,-7.191999417749101,-48.20998813909487
araioses,MA,-2.8850541819643807,-41.904381270947184
araióses,MA,-2.8896796267859806,-41.90376547482041
aral moreira,MS,-22.953397805044233,-55.61759557539434
aramari,BA,-12.091330630741258,-38.5003316145126
arambare,RS,-30.912908274454868,-51.501951864682084
arambaré,RS,-30.907751516020756,-51.499425843416034
arame,MA,-4.8897314492920385,-46.00677976876072
aramina,SP,-20.092201099659754,-47.79068484733614
arandu,SP,-23.136564843736068,-49.05444039853914
arantina,MG,-21.91515898275318,-44.25360039856993
arapei,SP,-22.673499500042812,-44.446494992228956
arapeí,SP,-22.67445085107651,-44.446757241728356
arapiraca,AL,-9.75088947728531,-36.65688381187583
arapoema,TO,-7.656670780626437,-49.06430152660563
araponga,MG,-20.6671706287898,-42.52110705532634
arapongas,PR,-23.40888332472146,-51.434763168422826
arapora,MG,-18.433559230520945,-49.18513587236584
araporã,MG,-18.432791642142238,-49.18663962139803
arapoti,PR,-24.142597510300845,-49.82236722660047
arapua,MG,-19.03645647077553,-46.1519771695105
arapua,MS,-20.78833288880478,-52.06038271529206
arapua,PR,-24.317821499999976,-51.814006374999984
araputanga,MT,-15.46944533964881,-58.34773170554173
arapuá,MG,-19.036174854554112,-46.153894350819144
arapuã,PR,-24.30585398586456,-51.78671904044258
araquari,SC,-26.407378348238257,-48.75811272641001
arara,PB,-6.8277176355033395,-35.76039334973399
ararangua,SC,-28.94309732360172,-49.484519509318304
araranguá,SC,-28.9418137844744,-49.48200911732147
araraquara,SP,-21.782712943567855,-48.171714984770624
araras,SP,-22.357745988322282,-47.375545535422965
ararenda,CE,-4.755502730423517,-40.81594208154287
ararendá,CE,-4.752986272735911,-40.83065274022709
arari,MA,-3.450955216573816,-44.77844191510273
ararica,RS,-29.61828866098833,-50.929312277245714
